mistranslate, mis-trans-late 
abler, abler 
ables, ables 
ablest, ablest 
ablings, ablings 
ablins, ablin-s 
abloom, abloom 
abluent, ablu-en-t 
abluents, ablu-ents 
ablush, ablush 
abluted, ablut-ed 
ablution, ablu-tion 
ablutionary, ablu-tion-ary 
ablutions, ablu-tion-s 
ably, ably 
abmho, abmho 
abmhos, abmhos 
abnegate, ab-ne-gate 
abnegated, ab-ne-gat-ed 
abnegates, ab-ne-gates 
abnegating, ab-ne-gat-ing 
abnegation, ab-ne-ga-tion 
abnegations, ab-ne-ga-tion-s 
abnegator, ab-ne-ga-tor 
abnegators, ab-ne-ga-tors 
abnormal, ab-nor-mal 
abnormalities, ab-nor-mal-i-ties 
abnormality, ab-nor-mal-i-ty 
abnormally, ab-nor-mal-ly 
abnormals, ab-nor-mal-s 
abo, abo 
aboard, aboard- 
abode, a-bode 
aboded, a-bod-ed 
abodes, a-bodes 
aboding, a-bod-ing 
abohm, abohm 
abohms, abohm-s 
aboideau, aboideau 
aboideaus, aboideaus 
aboideaux, aboideaux 
aboil, aboil 
aboiteau, aboiteau 
aboiteaus, aboiteaus 
aboiteaux, aboiteaux 
abolish, abol-ish 
abolishable, abol-ish-able 
abolished, abol-ished 
abolisher, abol-ish-er 
abolishers, abol-ish-er-s 
abolishes, abol-ish-es 
abolishing, abol-ish-ing 
abolishment, abol-ish-men-t 
abolishments, abol-ish-ments 
abolition, abo-li-tion 
abolitionary, abo-li-tionary 
abolitionism, abo-li-tion-is-m 
abolitionisms, abo-li-tionism-s 
abolitionist, abo-li-tion-ist 
abolitionists, abo-li-tion-ist-s 
abolitions, abo-li-tion-s 
abolla, abol-la 
abollae, abol-lae 
aboma, abo-ma 
abomas, abo-mas 
abomasa, abo-masa 
abomasal, abo-masal 
abomasi, abo-masi 
abomasum, abo-ma-sum 
abomasus, abo-ma-sus 
abominable, abom-inable 
abominably, abom-inably 
abominate, abom-i-nate 
abominated, abom-i-nat-ed 
abominates, abom-i-nates 
abominating, abom-i-nat-ing 
abomination, abom-i-na-tion 
abominations, abom-i-na-tion-s 
abominator, abom-i-na-tor 
abominators, abom-i-na-tors 
aboon, a-boon 
aboral, ab-o-ral 
aborally, ab-o-ral-ly 
aboriginal, a-bo-rig-i-nal 
aboriginally, a-bo-rig-i-nal-ly 
aboriginals, a-bo-rig-i-nal-s 
aborigine, a-bo-rig-ine 
aborigines, a-bo-rig-ines 
aborning, aborn-ing 
abort, abort 
aborted, abort-ed 
aborter, aborter 
aborters, aborter-s 
abortifacient, abor-ti-fa-cien-t 
abortifacients, abor-ti-fa-cients 
aborting, abort-ing 
abortion, abor-tion 
abortionist, abor-tion-ist 
abortionists, abor-tion-ist-s 
abortions, abor-tion-s 
abortive, abortive 
abortively, abortive-ly 
abortiveness, abortive-ness 
abortivenesses, abortive-ness-es 
aborts, abort-s 
abos, a-bos 
abought, abought 
aboulia, abou-li-a 
aboulias, abou-lias 
aboulic, aboulic 
abound, abound- 
abounded, abound-ed 
abounding, abound-ing 
abounds, abound-s 
about, about 
above, above 
aboveboard, above-board- 
aboveground, above-ground 
aboves, aboves 
abracadabra, abra-cad-abra 
abracadabras, abra-cad-abras 
abrachia, abrachi-a 
abrachias, abrachias 
abradable, abrad-able 
abradant, abradan-t 
abradants, abradants 
abrade, abrade 
abraded, abrad-ed 
abrader, abrad-er 
abraders, abrader-s 
abrades, abrades 
abrading, abrad-ing 
abrasion, abra-sion 
abrasions, abra-sion-s 
abrasive, abra-sive 
abrasively, abra-sive-ly 
abrasiveness, abra-sive-ness 
abrasivenesses, abra-sive-ness-es 
abrasives, abra-sives 
abreact, abre-ac-t 
abreacted, abre-act-ed 
abreacting, abre-act-ing 
abreaction, abre-ac-tion 
abreactions, abre-ac-tion-s 
abreacts, abre-act-s 
abreast, abreast- 
abri, abri 
abridge, abridge 
abridged, abridged 
abridgement, abridge-men-t 
abridgements, abridge-ments 
abridger, abridger 
abridgers, abridger-s 
abridges, abridges 
abridging, abridg-ing 
abridgment, abridg-men-t 
abridgments, abridg-ments 
abris, abris 
abroach, abroach 
abroad, abroad- 
abrogate, ab-ro-gate 
abrogated, ab-ro-gat-ed 
abrogates, ab-ro-gates 
abrogating, ab-ro-gat-ing 
abrogation, ab-ro-ga-tion 
abrogations, ab-ro-ga-tion-s 
abrosia, abrosi-a 
abrosias, abrosias 
abrupt, abrup-t 
abrupter, abrupter 
abruptest, abruptest 
abruption, abrup-tion 
abruptions, abrup-tion-s 
abruptly, abrupt-ly 
abruptness, abrupt-ness 
abruptnesses, abrupt-ness-es 
abs, ab-s 
abscess, ab-scess 
abscessed, ab-scessed 
abscesses, ab-scess-es 
abscessing, ab-scess-ing 
abscise, ab-scise 
abscised, ab-scised 
abscises, ab-scis-es 
abscisin, ab-scisin 
abscising, ab-scis-ing 
abscisins, ab-scisin-s 
abscissa, ab-scis-sa 
abscissae, ab-scis-sae 
abscissas, ab-scis-sas- 
abscission, ab-scis-sion 
abscissions, ab-scis-sion-s 
abscond, ab-scond 
absconded, ab-scond-ed 
absconder, ab-scon-der 
absconders, ab-scon-der-s 
absconding, ab-scond-ing 
absconds, ab-scond-s 
abseil, ab-seil 
abseiled, ab-seiled 
abseiling, ab-seil-ing 
abseils, ab-seil-s 
absence, ab-sence 
absences, ab-sences 
absent, ab-sen-t 
absented, ab-sent-ed 
absentee, ab-sen-tee 
absenteeism, ab-sen-teeis-m 
absenteeisms, ab-sen-teeism-s 
absentees, ab-sen-tees 
absenter, ab-sen-ter 
absenters, ab-sen-ter-s 
absenting, ab-sent-ing 
absently, ab-sent-ly 
absentminded, ab-sent-mind-ed 
absentmindedly, ab-sent-mind-ed-ly 
absentmindedness, ab-sent-mind-ed-ness 
absentmindednesses, ab-sent-mind-ed-ness-es 
absents, ab-sents 
absinth, ab-sinth 
absinthe, ab-sinthe 
absinthes, ab-sinthes 
absinths, ab-sinth-s 
absolute, ab-so-lute 
absolutely, ab-so-lute-ly 
absoluteness, ab-so-lute-ness 
absolutenesses, ab-so-lute-ness-es 
absoluter, ab-so-luter 
absolutes, ab-so-lutes 
absolutest, ab-so-lutest 
absolution, ab-so-lu-tion 
absolutions, ab-so-lu-tion-s 
absolutism, ab-so-lutism 
absolutisms, ab-so-lutism-s 
absolutist, ab-so-lutist 
absolutistic, ab-so-lutis-tic 
absolutists, ab-so-lutist-s 
absolutive, ab-so-lu-tive 
absolutize, ab-so-l-u-tize 
absolutized, ab-so-l-u-tized 
absolutizes, ab-so-l-u-tizes 
absolutizing, ab-so-l-u-tiz-ing 
absolve, ab-solve 
absolved, ab-solved 
absolver, ab-solver 
absolvers, ab-solver-s 
absolves, ab-solves 
absolving, ab-solv-ing 
absonant, ab-so-nan-t 
absorb, ab-sorb 
absorbabilities, ab-sorba-bil-i-ties 
absorbability, ab-sorba-bil-i-ty 
absorbable, ab-sorbable 
absorbance, ab-sorbance 
absorbances, ab-sorbances 
absorbancies, ab-sorban-cies 
absorbancy, ab-sorban-cy 
absorbant, ab-sorban-t 
absorbants, ab-sorbants 
absorbed, ab-sorbed 
absorbencies, ab-sorben-cies 
absorbency, ab-sorben-cy 
absorbent, ab-sorben-t 
absorbents, ab-sorbents 
absorber, ab-sorber 
absorbers, ab-sorber-s 
absorbing, ab-sorb-ing 
absorbingly, ab-sorbing-ly 
absorbs, ab-sorbs 
absorptance, ab-sorp-tance 
absorptances, ab-sorp-tances 
absorption, ab-sorp-tion 
absorptions, ab-sorp-tion-s 
absorptive, ab-sorp-tive 
absorptivities, ab-sorp-tiv-i-ties 
absorptivity, ab-sorp-tiv-i-ty 
absquatulate, ab-squat-u-late 
absquatulated, ab-squat-u-lat-ed 
absquatulates, ab-squat-u-lates 
absquatulating, ab-squat-u-lat-ing 
abstain, ab-stain 
abstained, ab-stained 
abstainer, ab-stain-er 
abstainers, ab-stain-er-s 
abstaining, ab-stain-ing 
abstains, ab-stain-s 
abstemious, ab-stemious 
abstemiously, ab-stemious-ly 
abstemiousness, ab-stemious-ness 
abstemiousnesses, ab-stemious-ness-es 
abstention, ab-sten-tion 
abstentions, ab-sten-tion-s 
abstentious, ab-sten-tious 
absterge, ab-sterge 
absterged, ab-sterged 
absterges, ab-sterges 
absterging, ab-sterg-ing 
abstinence, ab-sti-nence 
abstinences, ab-sti-nences 
abstinent, ab-sti-nen-t 
abstinently, ab-sti-nent-ly 
abstract, ab-strac-t 
abstractable, ab-stractable 
abstracted, ab-stract-ed 
abstractedly, ab-stract-ed-ly 
abstractedness, ab-stract-ed-ness 
abstractednesses, ab-stract-ed-ness-es 
abstracter, ab-stracter 
abstracters, ab-stracter-s 
abstractest, ab-stractest 
abstracting, ab-stract-ing 
abstraction, ab-strac-tion 
abstractional, ab-strac-tion-al 
abstractionism, ab-strac-tion-is-m 
abstractionisms, ab-strac-tionism-s 
abstractionist, ab-strac-tion-ist 
abstractionists, ab-strac-tion-ist-s 
abstractions, ab-strac-tion-s 
abstractive, ab-strac-tive 
abstractly, ab-stract-ly 
abstractness, ab-stract-ness 
abstractnesses, ab-stract-ness-es 
abstractor, ab-strac-tor 
abstractors, ab-strac-tors 
abstracts, ab-stract-s 
abstrict, ab-stric-t 
abstricted, ab-strict-ed 
abstricting, ab-strict-ing 
abstricts, ab-strict-s 
abstruse, ab-struse 
abstrusely, ab-struse-ly 
abstruseness, ab-struse-ness 
abstrusenesses, ab-struse-ness-es 
abstruser, ab-struser 
abstrusest, ab-struses-t 
abstrusities, ab-strusi-ties 
abstrusity, ab-strusi-ty 
absurd, ab-sur-d 
absurder, ab-sur-der 
absurdest, ab-sur-dest 
absurdism, ab-sur-dis-m 
absurdisms, ab-sur-dism-s 
absurdist, ab-sur-dis-t 
absurdists, ab-sur-dist-s 
absurdities, ab-sur-di-ties 
absurdity, ab-sur-di-ty 
absurdly, ab-surd-ly 
absurdness, ab-surd-ness 
absurdnesses, ab-surd-ness-es 
absurds, ab-surd-s 
abubble, abub-ble 
abuilding, abuild-ing 
abulia, ab-u-li-a 
abulias, ab-u-lias 
abulic, ab-u-lic 
abundance, abun-dance 
abundances, abun-dances 
abundant, abun-dan-t 
abundantly, abun-dant-ly 
abusable, abus-able 
abuse, abuse 
abused, abused 
abuser, abus-er 
abusers, abuser-s 
abuses, abus-es 
abusing, abus-ing 
abusive, abu-sive 
abusively, abu-sive-ly 
abusiveness, abu-sive-ness 
abusivenesses, abu-sive-ness-es 
abut, abut 
abutilon, abu-tilon 
abutilons, abu-tilon-s 
abutment, abut-men-t 
abutments, abut-ments 
abuts, abut-s 
abuttal, abut-tal 
abuttals, abut-tal-s 
abutted, abut-ted 
abutter, abut-ter 
abutters, abut-ter-s 
abutting, abut-ting 
abuzz, abuz-z 
abvolt, ab-volt 
